Количество,rank,Частота,rank,Абсолютная стоимость,rank,Относительная стоимость,rank,total_score
1442,834,0.19751361888497657,834,134830.22765089723,834,29964.395034325826,834,3336
586,833,0.06013507510721133,833,63351.774796084836,833,10426.02602553725,833,3332
501,832,0.05486769838871004,832,41507.884910277324,829,6715.5764029003785,830,3323
499,831,0.05381675511164674,831,57062.73934747145,832,10087.358590935344,832,3326
467,830,0.05372987306810837,830,53509.48616639479,831,10040.790468833322,831,3322
463,829,0.050508884605246836,829,42719.45742251224,830,6515.066047444835,829,3317
177,828,0.01719445883493871,828,15326.26427406199,824,2346.021769650172,823,3303
172,827,0.01567137192872487,827,18824.830342577487,826,2377.8731764338618,824,3304
149,826,0.015381585190408721,826,13920.826003262642,823,2383.364868293449,825,3300
141,825,0.015220397489861159,825,11759.399102773246,820,1900.5554845450824,819,3289
128,824,0.012299003255659602,824,19395.000195758566,827,2927.833854305291,827,3302
120,823,0.011863268783160425,823,11787.356362153345,821,1948.812871830906,821,3288
113,822,0.01112921253102914,822,15611.027683523653,825,2397.429902063678,826,3295
107,821,0.009835905924141219,821,19805.839673735725,828,3077.6233528262565,828,3298
70,820,0.006555077791145902,820,12082.12634584013,822,1928.749718790935,820,3282
68,819,0.005097365053247406,815,10062.415986949429,819,1168.4147431325246,817,3270
62,818,0.005244476384182266,817,9573.019575856444,818,1283.7062774697358,818,3271
56,817,0.005142240112828349,816,4477.1615008156605,810,655.1027547764904,811,3254
56,816,0.005078782328782329,814,4721.859706362154,812,709.0958887043715,813,3255
52,815,0.005361243847311958,818,4343.393148450245,808,934.4394050756205,815,3256
50,814,0.005934916390798744,819,3181.0766721044047,804,570.3733913358709,808,3245
49,813,0.003972999222999223,810,4389.3139477977165,809,509.8653547838784,806,3238
43,812,0.0037513140167938935,809,1782.2185970636215,772,215.75186338644738,774,3167
43,811,0.004782999920110647,813,1113.3768352365416,734,186.87280636709676,765,3123
41,810,0.0036316951022833375,808,6907.69396411093,817,950.5435096714053,816,3251
39,809,0.0028549106122635537,805,3854.006769983687,807,458.70799051750316,801,3222
36,808,0.0039922822275763456,811,1924.3353996737358,782,280.9967633236801,782,3183
35,807,0.0025400539003480184,801,5497.553017944535,815,650.8483812725249,810,3233
35,806,0.004045518207282914,812,1786.2969004893964,773,337.56700069913774,789,3180
33,805,0.003631185807656396,807,4714.618270799348,811,667.0522618400269,812,3235
31,804,0.0026739094239094244,803,2935.7546492659053,797,375.5646025897249,795,3199
30,803,0.0025030976648623706,799,3128.058727569331,802,433.54415356862336,799,3203
29,802,0.0023934001408049852,796,2549.0296900489398,788,308.0489763634951,784,3170
29,801,0.0024491891230645556,797,4722.675367047308,813,609.4044617698778,809,3220
28,800,0.0026433093050740107,802,2642.7406199021207,792,313.41358931081606,787,3181
26,799,0.0022971734148204736,794,5447.251876019575,814,785.2502242184133,814,3221
26,798,0.002516127663186487,800,2569.331158238173,789,356.25275123643803,793,3180
25,797,0.0027309969442322383,804,1239.8042414355627,746,196.80727103239337,769,3116
25,796,0.002238744915215503,792,277.3246329526917,530,35.38712510980047,570,2688
24,795,0.001965947451241569,786,1190.8646003262643,741,98.71348064659648,724,3046
24,794,0.0022528430175488994,793,3319.7389885807506,805,504.8325488782259,805,3197
23,793,0.0032842419018889605,806,6081.447699836868,816,1963.6989985399775,822,3237
21,792,0.0016017653370594546,776,2384.732871125612,787,276.9133567553225,781,3136
21,791,0.002180608607079195,791,1867.862969004894,777,256.1974911077684,778,3137
21,790,0.0024570347952700892,798,815.6606851549756,717,70.81508304999333,669,2974
20,789,0.00129796918767507,764,65.25285481239804,364,9.321836401771147,378,2295
20,788,0.0015034249199474112,770,2728.4850734094616,794,295.89598990256616,783,3135
20,787,0.0015442515001338531,773,2141.109298531811,785,195.45978762944503,768,3113
19,786,0.001636511063755646,777,2708.250766721044,793,352.2774403307691,792,3148
19,785,0.001976759351759352,787,1884.1761827079936,781,389.3420337139749,796,3149
19,784,0.001677156177156177,780,3152.5285481239803,803,481.85365477371994,804,3171
19,783,0.0023401239283592223,795,554.6492659053833,678,61.54530624351179,650,2906
19,782,0.001214885303894592,757,2760.297553017944,795,340.65340017966446,790,3124
18,781,0.0020835308482367305,790,977.8407830342578,729,261.1287238047434,780,3080
18,780,0.0019404761904761904,784,619.9021207177814,699,123.98042414355628,740,3003
18,779,0.0015562808010904897,774,1717.0557911908645,768,124.98528670254993,741,3062
17,778,0.001640172735760971,778,1011.4192495921696,732,109.48302648955178,734,3022
17,777,0.001999183006535948,788,872.7569331158238,723,166.39477977161502,756,3044
17,776,0.0014760949834479247,769,1872.0413539967376,778,178.94279627726814,760,3083
17,775,0.0017058823529411764,781,0.0,267,0.0,312,2135
17,774,0.0015405726884055054,772,619.9021207177814,698,81.82500841554675,694,2938
17,773,0.0017294584500466852,782,1794.453507340946,775,313.10041689323907,786,3116
16,772,0.0015355221833550008,771,509.7879282218597,669,39.78980150955767,590,2802
16,771,0.0017582689641513173,783,1448.1321370309952,754,234.7243368980726,776,3084
16,770,0.0020655569920275804,789,554.6492659053833,677,93.80097879282219,714,2950
16,769,0.0013282817114086464,765,2978.2209624796083,799,479.6619131762125,803,3136
16,768,0.0015915032679738564,775,407.8303425774878,604,67.97172376291462,658,2805
16,767,0.001216208627973334,758,1794.453507340946,774,244.14447252946437,777,3076
15,766,0.0012352941176470586,760,1476.3458401305056,761,182.5267355446801,761,3048
15,765,0.0014028944911297855,767,2355.628058727569,786,308.65377145964425,785,3103
15,764,0.001671377641965877,779,1150.0815660685155,736,189.57313757476888,767,3046
14,763,0.001270045314162961,762,1415.1712887438825,752,172.944850147134,757,3034
13,762,0.0008660130718954247,747,0.0,115,0.0,180,1804
13,761,0.001440359477124183,768,244.69820554649266,510,27.188689505165847,524,2563
13,760,0.0010942684766214177,752,2972.1311582381727,798,332.2983553332656,788,3098
13,759,0.000709532297767592,731,570.9624796084829,683,51.78798000983971,633,2806
13,758,0.0012817460317460316,763,2871.1256117455137,796,405.90447707087185,797,3114
13,757,0.0012208216619981325,759,2584.0130505709626,790,366.2937932105958,794,3100
12,756,0.0010406162464985994,750,3107.667210440457,801,447.25394235997817,800,3107
12,755,0.0008655568287921229,746,126.4274061990212,396,19.612931929408273,462,2359
12,754,0.0007741596638655463,740,309.9510603588907,575,68.51549755301795,662,2731
12,753,0.0013750000000000001,766,0.0,339,0.0,327,2185
11,752,0.0008338067161596573,745,2610.1141924959215,791,343.6286388978069,791,3079
11,751,0.0012583078686019863,761,440.71406199021203,632,40.06491472638291,591,2735
11,750,0.0008333333333333333,744,3564.437194127243,806,462.547580206634,802,3102
11,749,0.0010931372549019608,751,0.0,313,0.0,331,2144
11,748,0.0010980392156862745,753,3075.040783034258,800,524.4698205546492,807,3108
11,747,0.0011569900687547748,754,159.05383360522023,411,10.407618482659265,384,2296
11,746,0.0006568627450980393,723,0.0,112,0.0,143,1724
10,745,0.001956674044909339,785,209.62479608482872,481,174.58846210885363,758,2769
10,744,0.0007737447451069742,739,163.1321370309951,442,32.62642740619902,556,2481
10,743,0.0007744738921209508,741,1508.9722675367047,763,187.7799787669282,766,3013
10,742,0.0006297705562411445,720,1810.7667210440457,776,185.15085603176956,762,3000
10,741,0.0011974789915966387,756,835.779445350734,720,119.39706362153343,738,2955
10,740,0.0011672096646145088,755,607.7572593800979,696,69.48764644816848,664,2855
10,739,0.0008237840590781769,742,1598.694942903752,764,205.46881068903906,771,3016
9,738,0.0007216704863763688,735,1276.5089722675366,749,130.58515709412933,744,2966
9,737,0.0007397504456327985,737,1272.4306688417619,747,141.3811854268624,747,2968
9,736,0.0004507417676922321,682,1443.7194127243067,753,102.63926851889417,729,2900
9,735,0.0007119155354449472,733,261.01141924959217,522,37.01844648011043,575,2565
8,734,0.0005565104829810712,705,1876.0195758564437,779,211.16548849012142,773,2991
8,733,0.0006586942469295411,724,130.50570962479608,397,26.10114192495922,519,2373
8,732,0.00035539215686274507,656,0.0,53,0.0,52,1493
8,731,0.000638655462184874,722,831.973898858075,719,121.49460110308397,739,2911
8,730,0.0007658942364824718,738,1231.647634584013,745,260.6035889070147,779,2992
8,729,0.0009411764705882353,749,0.0,35,0.0,26,1539
8,728,0.0003026018099547511,637,163.1321370309951,430,12.548625925461161,391,2186
8,727,0.0005147058823529412,701,1941.2724306688417,783,210.03262642740617,772,2983
8,726,0.0006911764705882352,727,0.0,107,0.0,150,1710
8,725,0.0007034313725490195,729,195.75856443719414,475,24.469820554649267,505,2434
8,724,0.000732194791792315,736,407.8303425774878,619,58.26147751106967,646,2725
8,723,0.0007058823529411764,730,65.25285481239804,369,9.321836401771147,377,2199
7,722,0.00046848739495798316,688,1296.900489396411,750,94.0437349491183,715,2875
7,721,0.000511096746390864,700,1149.0069331158238,735,128.6086374881236,742,2898
7,720,0.0007205882352941177,734,407.8303425774878,615,45.67699836867863,619,2688
7,719,0.0006990068754774638,728,464.92659053833603,647,47.604923624499484,623,2717
7,718,0.0002573529411764706,606,0.0,244,0.0,210,1778
7,717,0.0005461891050126344,704,1162.31647634584,737,149.5405084312099,752,2910
7,716,0.00047619047619047614,691,1272.4306688417619,748,141.3811854268624,746,2901
7,715,0.0006271315543761363,719,611.7455138662317,697,92.7652191926254,712,2843
7,714,0.00043541752365281773,679,489.3964110929853,665,54.88883058214216,641,2699
7,713,0.0002573529411764706,604,0.0,259,0.0,282,1858
7,712,0.0002573529411764706,607,0.0,134,0.0,145,1598
7,711,0.0005733378821614116,707,599.510603588907,691,38.470833740001765,585,2694
7,710,0.00047478991596638654,690,1876.0195758564437,780,155.36394002951914,754,2934
7,709,0.0002573529411764706,605,0.0,225,0.0,261,1800
6,708,0.0008333333333333333,743,440.4567699836868,625,63.893420337139744,652,2728
6,707,0.0004985635279752927,696,570.9624796084829,685,68.9815893731065,663,2751
6,706,0.0007110726643598616,732,130.50570962479608,398,26.10114192495922,520,2356
6,705,0.0006190476190476191,718,309.9510603588907,576,44.27872290841295,615,2614
6,704,0.0006319073083778966,721,2039.1517128874389,784,406.47090810222943,798,3007
6,703,0.00042112299465240635,674,0.0,40,0.0,31,1448
6,702,0.00038531566472742936,665,554.6492659053833,679,71.19851328660464,672,2718
6,701,0.00047794117647058826,692,709.6247960848287,707,80.8863512778684,687,2787
6,700,0.0004173669467787115,673,244.69820554649266,513,34.95688650664181,569,2455
6,699,0.00021279806314408392,566,1631.3213703099511,765,96.18655981768929,720,2750
6,698,0.00040842490842490844,671,1492.6590538336052,762,176.8310536662902,759,2890
6,697,0.0008823529411764706,748,0.0,95,0.0,94,1634
6,696,0.00045788770053475935,684,766.9783360522023,712,94.4422937367146,716,2808
6,695,0.00038244435303258836,664,36.7047308319739,357,1.6683968559988136,350,2066
6,694,0.0005998707175177764,715,293.6378466557912,561,22.587526665830094,492,2462
6,693,0.000536541889483066,702,126.4274061990212,395,19.612931929408273,461,2251
6,692,0.00020431390024815632,559,1761.8270799347472,770,101.99029930821506,726,2747
6,691,0.0005443722943722944,703,938.0097879282218,728,147.5957430280432,751,2873
6,690,0.0006587850826605152,725,0.0,24,0.0,77,1516
6,689,0.0004341736694677871,676,0.0,61,0.0,61,1487
6,688,0.0006176470588235294,717,481.23980424143554,652,84.01305057096248,698,2755
6,687,0.00037368024132730014,659,110.1141924959217,386,8.470322499686285,372,2104
6,686,0.00020431390024815632,560,1761.8270799347472,769,101.99029930821506,728,2743
6,685,0.0004789915966386555,693,1223.4910277324634,742,87.3922162666045,701,2821
6,684,0.00020431390024815632,558,1761.8270799347472,771,101.99029930821506,727,2740
5,683,0.00045788770053475935,685,407.8303425774878,614,37.07548568886253,578,2560
5,682,0.0004435107376283847,681,448.6133768352365,640,49.845930759470725,629,2632
5,681,0.0006029411764705882,716,326.2642740619902,578,40.783034257748774,596,2571
5,680,0.00043417366946778713,677,0.0,14,0.0,20,1391
5,679,0.000588235294117647,712,0.0,213,0.0,278,1882
5,678,0.00038581842993607704,666,0.0,119,0.0,124,1587
5,677,0.0002805429864253394,621,163.1321370309951,438,12.548625925461161,402,2138
5,676,0.00016754919436580336,507,1468.189233278956,755,83.63793389222812,697,2635
5,675,0.00032226678550207965,640,538.3360522022839,674,53.01794453507341,635,2624
5,674,0.000496732026143791,695,0.33442088091353994,342,0.05573681348558999,342,2053
5,673,0.00039915966386554625,670,489.3964110929853,657,61.174551386623165,649,2649
5,672,0.000286830816242581,623,595.4323001631321,690,68.17244745466606,661,2646
5,671,0.0003454715219421101,646,929.8531810766721,727,93.67150884279758,713,2757
5,670,0.00017757593233371782,518,1468.189233278956,756,88.64312446022456,706,2650
5,669,0.0002288237041697249,576,1174.5513866231647,739,65.28556847624115,654,2638
5,668,0.0003061698363555949,638,823.8172920065252,718,47.70541770412982,624,2648
5,667,0.0002628090863384981,610,493.4747145187602,667,43.181849870267484,609,2553
5,666,0.00017757593233371782,521,1468.189233278956,759,88.64312446022456,703,2649
5,665,0.0005840336134453781,708,456.7699836867863,645,91.35399673735726,710,2728
5,664,0.00017757593233371782,522,1468.189233278956,758,88.64312446022456,704,2648
5,663,0.00046218487394957984,686,0.0,185,0.0,154,1688
5,662,0.000434640522875817,678,301.79445350734096,572,16.766358528185606,451,2363
5,661,0.00017757593233371782,519,1468.189233278956,760,88.64312446022456,705,2645
5,660,0.0005060331825037708,698,261.01141924959217,524,37.01844648011043,574,2456
5,659,0.00045320855614973263,683,334.42088091354,584,66.88417618270799,655,2581
5,658,0.0003510737628384687,649,407.8303425774878,600,58.26147751106967,644,2551
5,657,0.00017757593233371782,520,1468.189233278956,757,88.64312446022456,707,2641
5,656,0.00022836912542794895,575,991.0277324632953,730,67.30279568778752,656,2617
5,655,0.00048319327731092437,694,440.4567699836868,628,96.13143789326497,719,2696
5,654,0.0003940454969866734,668,742.2512234910278,710,90.53039130526895,709,2741
4,653,0.0005,697,375.20391517128877,591,81.56606851549755,692,2633
4,652,0.00014081122645136487,455,1174.5513866231647,740,70.2907590442376,667,2514
4,651,0.00037438052143934494,661,0.0,204,0.0,263,1779
4,650,0.0003529411764705883,650,277.3246329526917,529,27.732463295269167,543,2372
4,649,0.00033613445378151256,645,1011.4192495921696,733,144.4884642274528,750,2777
4,648,0.00033613445378151256,644,0.0,184,0.0,176,1652
4,647,0.000392156862745098,667,261.01141924959217,523,43.50190320826536,612,2449
4,646,0.0003823529411764706,662,163.1321370309951,428,16.31321370309951,440,2176
4,645,0.0003306595365418895,641,171.28874388254485,451,34.257748776508976,558,2295
4,644,0.00020329996800585036,556,407.8303425774878,601,37.07548568886253,581,2382
4,643,0.0001914098972922502,527,1370.3099510603588,751,103.70542996970403,730,2651
4,642,0.000261437908496732,609,1680.2610114192496,767,186.69566793547216,764,2782
4,641,0.000273109243697479,616,815.6606851549756,715,81.56606851549755,690,2662
4,640,0.00031818181818181815,639,0.0,116,0.0,183,1578
4,639,0.00028711484593837533,624,0.0,189,0.0,112,1564
4,638,0.00024949723479135243,601,163.1321370309951,414,12.548625925461161,401,2054
4,637,0.00037409700722394214,660,636.2153344208809,701,106.03588907014682,733,2731
4,636,0.0003487394957983193,647,203.9151712887439,480,40.783034257748774,601,2364
4,635,0.00024132730015082957,595,0.0,240,0.0,207,1677
4,634,0.0004663865546218488,687,0.0,89,0.0,86,1496
4,633,0.0003645765998707175,658,407.8303425774878,608,31.371564813652906,553,2452
4,632,0.00023529411764705883,586,0.0,316,0.0,326,1860
4,631,0.00020915032679738566,563,856.4437194127244,722,72.9563168388617,678,2594
4,630,0.0002756410256410256,618,587.2756933115824,687,81.31509599698833,688,2623
4,629,0.000267156862745098,614,81.56606851549755,376,16.31321370309951,435,2054
4,628,0.0002941176470588235,633,0.0,22,0.0,19,1302
4,627,0.00014081122645136487,456,1174.5513866231647,738,70.2907590442376,666,2487
4,626,0.00039869281045751634,669,897.226753670473,726,163.1321370309951,755,2776
4,625,0.0003006535947712418,636,407.8303425774878,613,43.50190320826536,611,2485
